Keyword ID,Cluster,Primary keyword,Keyword type,Search intent,Target audience,Recommended asset,Funnel,Priority,Existing page or target,Supporting terms,Recommended content angle,Data status
IONM-001,IONM,intraoperative neuromonitoring,Core,Informational and commercial,Surgeons clinical engineers procurement teams,Pillar page plus guide,TOFU-MOFU,P1,intraoperative-neuromonitoring-ionm,IONM intraoperative neurophysiological monitoring neuromonitoring system,Define IONM modalities workflow and supplier evaluation,No public volume data collected
IONM-002,IONM,intraoperative neuromonitoring system,Commercial,Commercial investigation,Hospital procurement distributors,Product category page,MOFU,P1,intraoperative-neuromonitoring-ionm,IONM equipment intraoperative monitoring system neural monitoring system,Compare system architecture modalities workflow and service support,No public volume data collected
IONM-003,IONM,IONM system,Commercial,Commercial investigation,Procurement teams distributors,Product page and comparison guide,MOFU,P1,Target product hub,Cynapse IONM system multimodal IONM system,Map system capabilities to surgical use cases without unsupported claims,No public volume data collected
IONM-004,IONM,intraoperative neurophysiological monitoring,Informational,Informational,Clinicians trainees,Educational guide,TOFU,P1,technical-resources,neurophysiological monitoring IONM modalities evoked potentials,Explain terminology and monitoring objectives,No public volume data collected
IONM-005,IONM,intraoperative nerve monitoring equipment,Commercial,Commercial investigation,Hospital procurement distributors,Product category page,MOFU,P1,intraoperative-neuromonitoring-ionm,nerve monitoring equipment surgical nerve monitor IONM equipment,Create an equipment selection framework by procedure and modality,No public volume data collected
IONM-006,IONM,intraoperative spinal cord monitoring,Informational and commercial,Problem solving and product evaluation,Spine surgeons hospitals,Clinical solution page plus guide,MOFU,P1,spine-surgery,spinal cord monitoring system spine surgery neuromonitoring,Explain functional monitoring during spine procedures and link to Cynapse,No public volume data collected
IONM-007,IONM,spinal cord monitoring system,Commercial,Commercial investigation,Hospital procurement,Product page or procurement guide,MOFU,P1,Target product hub,spinal cord monitoring equipment intraoperative spinal monitoring,Define configuration requirements and service questions,No public volume data collected
IONM-008,IONM,nerve monitoring during surgery,Informational,Problem solving,Surgeons operating room teams,How-to guide,TOFU-MOFU,P1,nerve-monitoring-during-surgery-equipment-guide,nerve monitoring equipment intraoperative nerve monitoring surgery monitoring,Build an equipment and workflow guide for nerve monitoring,Observed as an exact site topic in the current News Sitemap
IONM-009,IONM,neuromonitoring equipment,Commercial,Commercial investigation,Procurement teams distributors,Category page plus buyer guide,MOFU,P1,intraoperative-neuromonitoring-ionm,neuromonitoring system neuromonitoring devices medical neuromonitoring,Organize equipment by clinical application and purchasing stage,No public volume data collected
IONM-010,IONM,multimodal IONM,Informational and commercial,Evaluation,Neurophysiologists surgeons,Technical guide,MOFU,P2,Target technical resource,multimodal neuromonitoring MEP SSEP EMG EEG,Explain why modalities are combined and what evidence is required,No public volume data collected
IONM-011,IONM,IONM equipment manufacturer,Commercial,Vendor selection,Distributors procurement teams,Manufacturer page and supplier guide,BOFU,P1,about-us and manufacturing-capability,IONM manufacturer neuromonitoring manufacturer medical device manufacturer,Show R&D manufacturing quality and service evidence,No public volume data collected
IONM-012,IONM,intraoperative neuromonitoring supplier,Commercial,Vendor selection,Distributors procurement teams,Buyer guide and contact landing page,BOFU,P1,global-sales-contacts,surgical monitoring supplier IONM supplier neuromonitoring equipment supplier,Provide supplier evaluation criteria and inquiry CTA,No public volume data collected
EEG-001,EEG,EEG machine,Core,Commercial investigation,Neurology departments procurement teams,Product hub plus guide,MOFU,P1,electroencephalography-eeg,EEG equipment electroencephalograph EEG system,Explain selection by routine ICU research and video EEG use,No public volume data collected
EEG-002,EEG,EEG system,Core,Commercial investigation,Hospitals distributors,Category page,MOFU,P1,electroencephalography-eeg,digital EEG system EEG equipment EEG device,Create a category overview linked to model pages and applications,No public volume data collected
EEG-003,EEG,portable EEG machine,Commercial,Commercial investigation,ICU teams hospitals distributors,Product page plus guide,MOFU,P1,portable-eeg-equipment,portable EEG system mobile EEG machine bedside EEG,Focus on portability signal quality setup and deployment conditions,No public volume data collected
